,rev_id,score
0,671484594,
1,671903264,Stub
2,695644408,Start
3,697556836,Start
4,698241676,Stub
5,698253253,Stub
6,698571611,Stub
7,698571613,Stub
8,698571631,Stub
9,698571634,Stub
10,698571661,Stub
11,698571662,Stub
12,698571672,Stub
13,698571717,Stub
14,783174624,Stub
15,783728475,Start
16,784223555,Start
17,784736749,Start
18,785445513,Stub
19,785445559,Stub
20,785445753,Stub
21,786406916,Start
22,786777266,Stub
23,787333985,Start
24,790608265,Start
25,790608276,Start
26,791285765,Start
27,791735982,Start
28,791841710,Stub
29,793624162,Start
30,793755425,Stub
31,793874255,C
32,795537190,C
33,796183843,C
34,800278210,Start
35,800724197,Stub
36,801380292,Stub
37,801409353,GA
38,802653595,Stub
39,802655416,Stub
40,803294527,Stub
41,803661441,C
42,803697955,C
43,804519400,Start
44,805319388,C
45,806670125,C
46,806822611,C
47,807370008,Start
48,807388887,B
