,rev_id,score
0,789314956,Start
1,789505132,Start
2,789505789,Stub
3,789506050,C
4,789973919,Stub
5,789974107,Stub
6,789974150,Stub
7,789974260,Stub
8,789974286,Stub
9,789974289,Stub
10,789974290,Stub
11,789974293,Stub
12,789974296,Start
13,789974299,Stub
14,789974302,Stub
15,789974309,Stub
16,789974319,Stub
17,789974332,Start
18,789974343,C
19,789974365,Stub
20,789974376,Stub
21,789974389,Stub
22,789974394,Stub
23,789974396,Stub
24,789974397,Stub
25,789974403,Stub
26,789974410,Stub
27,789974415,Stub
28,789974417,Stub
29,789974423,Stub
30,789974465,Stub
31,789974481,Stub
32,789974517,Stub
33,789974522,Stub
34,789974539,Stub
35,789974546,Stub
36,789974626,Stub
37,790623504,C
38,793666485,Stub
39,793718419,Stub
40,795836523,C
41,795853236,FA
42,795958014,C
43,795975758,Stub
44,796447870,Start
45,797494279,Stub
46,798077425,Start
47,798617013,Stub
48,799012335,Stub
