,rev_id,score
0,792730125,Stub
1,793644087,Stub
2,794649810,C
3,797028914,Stub
4,797218947,C
5,797219044,Stub
6,797422099,Stub
7,797926029,Start
8,798445586,Stub
9,798678085,Start
10,798722629,Start
11,799023818,Stub
12,799202571,Start
13,799283073,Start
14,799298806,Stub
15,799511171,Stub
16,799557543,C
17,799557683,Stub
18,799557832,Stub
19,799559369,Stub
20,799560238,Start
21,799561144,Stub
22,799566361,Stub
23,799949216,Start
24,800002912,Start
25,800014905,Stub
26,800067483,Start
27,800092405,Start
28,800356701,Stub
29,800360997,Start
30,800697620,Stub
31,801845003,Stub
32,803055843,C
33,803403039,Start
34,804447986,Stub
35,804939484,Start
36,804964495,Start
37,804964895,Stub
38,805008003,Stub
39,805008074,Start
40,805053642,Stub
41,805054018,Start
42,805055267,Start
43,805120872,Start
44,805772941,Start
45,805855320,Start
46,805981237,Start
47,806653470,Stub
48,806995404,Start
