,rev_id,score
0,788512418,Start
1,788660012,Stub
2,788660621,Stub
3,788677505,Start
4,788713862,Stub
5,788856149,Stub
6,788944043,Start
7,789238002,Start
8,789471611,Start
9,790200066,Stub
10,790355029,Start
11,790678938,Start
12,790949463,Start
13,791394160,Stub
14,792196867,C
15,793102072,Start
16,793596197,Stub
17,795314140,Stub
18,796823704,C
19,796944802,C
20,798599858,Start
21,798957839,C
22,799266150,Start
23,799413330,Start
24,799626694,Stub
25,799884206,C
26,800475122,Start
27,800664407,C
28,800690379,Stub
29,800690620,Stub
30,801106699,Stub
31,801318769,Start
32,801489821,Stub
33,801643725,Stub
34,801644461,C
35,801898770,Start
36,801899276,Start
37,801936290,Start
38,802076780,Start
39,802107401,Start
40,802696583,Start
41,802868309,C
42,803483446,Start
43,803789782,FA
44,803963084,Start
45,804678009,Start
46,805026338,C
47,805026662,Start
48,805028281,Start
