,rev_id,score
0,786874913,Stub
1,786875408,Stub
2,786875530,Stub
3,786875778,Stub
4,786875994,Start
5,786876334,Start
6,786877184,Start
7,786877311,Start
8,786877678,Start
9,786877795,Stub
10,786877848,Stub
11,786878373,Stub
12,786879421,Stub
13,786879517,C
14,786880612,Stub
15,786881384,Stub
16,786881665,Start
17,786881873,Stub
18,786883245,Start
19,786898013,Stub
20,787219583,C
21,787609673,Start
22,787725015,C
23,788028560,GA
24,788086930,C
25,788271000,Stub
26,788549363,Stub
27,788591885,Start
28,788681195,Stub
29,788681641,Start
30,788696149,Start
31,789227920,Start
32,789272946,Stub
33,789357267,Start
34,789381469,Start
35,789400191,Stub
36,789445701,Start
37,789449096,Stub
38,789700580,Stub
39,789721582,Stub
40,789721982,Start
41,789722047,Stub
42,789722176,C
43,790071367,Start
44,790350399,Stub
45,790359572,Stub
46,790476111,GA
47,790553690,GA
48,790553794,Start
