,rev_id,score
0,790935261,Start
1,790985544,C
2,791149964,Start
3,791197927,Start
4,791538727,Stub
5,791678228,Stub
6,791678597,Start
7,791898698,Stub
8,791953403,Start
9,791954596,Start
10,792073632,Start
11,792172782,Start
12,792172903,GA
13,792250378,Start
14,792401933,Start
15,792545317,GA
16,792688043,Start
17,792958517,Start
18,793096179,Start
19,793120698,Start
20,793197546,Stub
21,793197878,C
22,793401963,Stub
23,793579022,Stub
24,793597475,Stub
25,793597998,Start
26,793598306,Start
27,793658481,Stub
28,793707308,Start
29,793811975,C
30,793812189,Start
31,793812212,Start
32,793812734,Stub
33,793813745,Stub
34,793814551,Stub
35,793814810,Start
36,793814925,Stub
37,793944091,Stub
38,793960068,GA
39,794024114,C
40,794037214,Start
41,794046663,Stub
42,794102586,Stub
43,794201626,Start
44,794312957,C
45,794789618,Start
46,795006340,Stub
47,795112649,C
48,795274175,Stub
