,rev_id,score
0,690088836,Stub
1,711339559,Start
2,714327408,Start
3,715648720,Start
4,717927538,Start
5,724075817,Stub
6,724421215,Stub
7,724502588,Stub
8,725551017,Start
9,725560890,Stub
10,725570133,Stub
11,725570918,Stub
12,725570977,Stub
13,725577168,Stub
14,728545577,Stub
15,736545789,Stub
16,738375479,Stub
17,738431228,Stub
18,751054819,Stub
19,804278777,Start
20,804406155,Start
21,804537982,FA
22,804937509,GA
23,804987462,C
24,805090733,C
25,805111658,Start
26,805116452,C
27,805369147,Start
28,805433532,Start
29,805492464,GA
30,805517886,Start
31,805550962,C
32,805831261,C
33,805842378,Start
34,805858215,C
35,805945943,Start
36,806133920,C
37,806160414,C
38,806274799,B
39,806387519,C
40,806477511,GA
41,806666485,C
42,806723473,GA
43,806765827,C
44,807054800,Start
45,807163777,Start
46,807170264,C
47,807178648,Start
48,807197072,B
