,rev_id,score
0,761487485,Start
1,764659292,Start
2,770939816,C
3,774354539,Start
4,778777128,Start
5,779135011,
6,779565822,Start
7,787087426,Start
8,789094188,Start
9,791214251,C
10,793888953,Start
11,794168233,Stub
12,794982932,C
13,794984953,Start
14,794984984,Start
15,794985040,Start
16,794985082,Start
17,794985164,Start
18,794986162,C
19,794986264,Start
20,796074577,C
21,796827654,Start
22,796882465,Start
23,797159286,Start
24,797193123,C
25,798127339,C
26,798706366,Start
27,799032094,Start
28,799102204,C
29,799663338,Stub
30,800070530,Start
31,800218225,Start
32,800417567,Start
33,800430639,C
34,800932530,Start
35,801367343,C
36,801370875,Start
37,801491811,Start
38,801729644,Start
39,801730243,Start
40,801880481,GA
41,802837499,Start
42,803900554,C
43,804285584,Start
44,804412296,C
45,804931949,C
46,805266750,C
47,805268515,GA
48,805313609,Start
