,rev_id,score
0,743954654,Stub
1,744407518,Stub
2,745046670,Start
3,745083491,Start
4,745085253,Stub
5,745470097,Stub
6,745636430,C
7,745640177,Stub
8,746372392,Stub
9,746424221,Start
10,746935405,Start
11,747469410,Stub
12,747590648,Stub
13,747872923,Stub
14,747926680,Stub
15,747963851,Stub
16,748036070,Stub
17,748085429,Start
18,748138457,Start
19,748492081,Stub
20,748699998,Start
21,749137688,Stub
22,749246301,Stub
23,749355326,Stub
24,749388528,Start
25,749630609,Start
26,749685112,Start
27,750140319,Stub
28,750166867,Start
29,750186613,Start
30,750333444,Start
31,752330844,Stub
32,752429713,Stub
33,752774315,Stub
34,753522929,Stub
35,754277461,Stub
36,754480848,Start
37,754508283,Stub
38,754635809,Start
39,754934786,Stub
40,754964875,Stub
41,754964916,Stub
42,754977802,Start
43,754978123,Stub
44,755021609,Stub
45,755166576,Start
46,755871149,Start
47,755880108,Start
48,757087873,Stub
