,rev_id,score
0,767169616,Stub
1,768127257,Stub
2,768705466,Start
3,768706125,Start
4,768706805,Start
5,768706876,Start
6,768707364,Stub
7,768707856,Stub
8,768797762,Stub
9,768809413,Start
10,768878536,Start
11,770535053,Start
12,772596247,Start
13,773039495,Start
14,773070957,Stub
15,773073864,Start
16,773588389,Stub
17,774841020,Stub
18,777857622,Start
19,778252266,Stub
20,779986740,Start
21,780240233,Start
22,781797749,Start
23,781797819,Stub
24,782432741,Start
25,782487405,Stub
26,782702063,Start
27,783424239,Start
28,783659445,Stub
29,783936425,Stub
30,785009070,Stub
31,785237742,C
32,785239830,Stub
33,785267613,Stub
34,787159099,C
35,787547117,Start
36,787813373,Start
37,787890930,Start
38,788618481,Start
39,788620617,Start
40,789457805,Stub
41,789936651,Stub
42,789979998,Stub
43,790732456,Stub
44,790926872,Stub
45,790971471,Stub
46,791521544,Stub
47,792295818,Stub
48,792363345,Start
