,rev_id,score
0,777592070,Stub
1,777669643,Stub
2,777796210,Stub
3,779557210,Stub
4,783532382,Stub
5,783534612,Stub
6,784048015,Start
7,786165176,Stub
8,789599196,Stub
9,789599235,Stub
10,789599241,Stub
11,789599248,Stub
12,789599260,Stub
13,789599265,Stub
14,789599272,Stub
15,789599288,Stub
16,789599294,Stub
17,789599300,Stub
18,789599316,Stub
19,789599319,Stub
20,789599323,Stub
21,789599331,Stub
22,789599336,Stub
23,789599343,Stub
24,789599348,Stub
25,789599355,Stub
26,789599360,Stub
27,789599369,Stub
28,789599374,Stub
29,789599381,Stub
30,789599388,Stub
31,789599393,Stub
32,789599398,Stub
33,789599401,Stub
34,789599406,Stub
35,789599415,Stub
36,789599418,Stub
37,789599427,Stub
38,789599429,Stub
39,789599434,Stub
40,789599444,Stub
41,789599449,Stub
42,789599455,Stub
43,789599463,Stub
44,789599476,Stub
45,789599485,Stub
46,789599488,Stub
47,789599496,Stub
48,789599506,Stub
