,rev_id,score
0,703436823,Start
1,713766077,C
2,716507073,Start
3,716574519,C
4,717350390,B
5,717669055,Start
6,753520648,Stub
7,753520814,Stub
8,753521202,Start
9,753521455,Stub
10,753521590,Stub
11,757540189,C
12,765151552,Start
13,769539114,Start
14,771200337,Start
15,771200378,Stub
16,771201755,Start
17,771202222,Start
18,771204325,Start
19,771205069,C
20,771205200,Start
21,780340163,FA
22,787384913,Stub
23,788271171,Start
24,789379318,C
25,790104672,Stub
26,794189728,Start
27,794265900,C
28,794712373,Start
29,795200199,Start
30,796231359,Start
31,796231383,Start
32,796867847,Start
33,798828126,C
34,800518361,Start
35,801306553,B
36,801332183,Stub
37,801460816,GA
38,802941674,C
39,803518946,C
40,804100365,GA
41,804584210,C
42,805036203,Stub
43,805569613,GA
44,806086109,GA
45,806508319,Stub
46,807312657,Start
47,807312837,Stub
48,807319659,Stub
