,rev_id,score
0,782617136,Stub
1,782894083,C
2,782912343,Stub
3,782958210,Stub
4,783363675,Stub
5,783514617,Stub
6,783532215,Stub
7,783534154,Start
8,783535084,Stub
9,783541183,Stub
10,783850372,Start
11,783952466,B
12,783973105,Stub
13,784213915,Start
14,784735819,Stub
15,784824616,Stub
16,784879850,Start
17,785096905,Start
18,785335922,Start
19,785355302,Stub
20,787172971,Stub
21,787357835,Stub
22,787358098,Stub
23,787539539,Start
24,787713809,GA
25,788022700,Start
26,788075020,Start
27,788194940,Start
28,788215394,Start
29,788215508,Start
30,788229235,Start
31,788449106,Stub
32,788762352,Start
33,788772385,Start
34,789373687,Stub
35,789466077,Start
36,789469488,C
37,790146205,Stub
38,790643160,Start
39,790704996,Start
40,791056293,Start
41,791121185,C
42,791396285,Start
43,791708178,Start
44,791842191,C
45,791845963,C
46,792006357,Stub
47,792041341,Start
48,792601479,C
