,rev_id,score
0,777794906,Stub
1,777796442,Start
2,778214823,Start
3,778225394,Start
4,778956011,Start
5,779079717,Stub
6,779376479,Stub
7,779376732,Start
8,779376823,Start
9,779376853,Stub
10,779376914,Start
11,779377008,Start
12,779379822,Stub
13,779385150,Start
14,779397683,Start
15,779553787,Stub
16,779561353,Stub
17,780106517,Start
18,780553772,Start
19,780553848,Stub
20,780596251,Stub
21,780723103,B
22,781190175,FA
23,781191182,Start
24,781191902,Start
25,781192692,Start
26,781192805,Start
27,781192834,Start
28,781192997,Stub
29,781194277,Start
30,781194429,Start
31,781194467,Start
32,781194685,Start
33,781194803,Start
34,781195878,Start
35,781196451,C
36,781196535,C
37,781196710,C
38,781199493,Stub
39,781319901,Start
40,781360170,Start
41,781782322,Start
42,781782577,Stub
43,781783112,B
44,782048547,Start
45,782124047,Stub
46,782234526,Start
47,782313343,Start
48,782457053,Stub
