,rev_id,score
0,730958820,Stub
1,731298989,Start
2,731622427,Stub
3,735844325,Stub
4,739428787,Stub
5,739491661,Stub
6,739493409,Stub
7,740523875,Stub
8,742602852,Stub
9,742768404,Start
10,746190781,Stub
11,747276063,Stub
12,747589700,C
13,748762843,Stub
14,748998101,Stub
15,749323690,Stub
16,749397513,Stub
17,749401183,Stub
18,749467175,Stub
19,749472147,Stub
20,749490701,Stub
21,749510545,Stub
22,749561118,Stub
23,749673540,Stub
24,749717139,Stub
25,749931170,Stub
26,749948624,Stub
27,749953370,Stub
28,749957851,Stub
29,749969158,Stub
30,749974899,Stub
31,750056336,Stub
32,750067498,Stub
33,750079557,Stub
34,750159706,Stub
35,750921649,Stub
36,751327224,Stub
37,752922581,Stub
38,753971771,Stub
39,754563037,Stub
40,755193594,Stub
41,757298396,Stub
42,757308555,Stub
43,758048616,Stub
44,760479746,Stub
45,763060738,Stub
46,763316002,Stub
47,765551216,Start
48,766543058,C
