,rev_id,score
0,794899062,Stub
1,795878514,Start
2,796002391,C
3,796169151,C
4,796282621,Start
5,796650222,C
6,796724870,Stub
7,796767727,C
8,796860586,Stub
9,796945105,C
10,797265190,Start
11,797306650,Start
12,797307293,C
13,797737207,C
14,798870672,Start
15,799047081,B
16,799096692,GA
17,799165257,C
18,799274870,Stub
19,799363469,Start
20,799364511,Stub
21,799520552,Stub
22,799597048,C
23,799824059,C
24,800053437,C
25,800127542,C
26,800214109,Start
27,800358228,Start
28,800502466,Stub
29,800707821,
30,800781066,Start
31,800781266,Stub
32,800940500,Stub
33,801015602,Start
34,801147278,Start
35,801269198,Start
36,801304355,Start
37,801306661,C
38,801309057,Stub
39,801311299,Stub
40,801311810,Stub
41,801313192,C
42,801578671,Stub
43,801691778,Start
44,801704233,Start
45,801920497,C
46,802111081,Start
47,802359903,Stub
48,802459918,Start
