,Unnamed: 0,page,country,rev_id,score
28315,28073,Yang Hung-duen,Taiwan,789721582,Stub
28316,28074,Tu Cheng-sheng,Taiwan,789721982,Start
28317,28075,Yu Lin-ya,Taiwan,789722047,Stub
28318,28076,Ko Chun-hsiung,Taiwan,789722176,C
28319,28077,Arlindo Chinaglia,Brazil,789725965,Stub
28320,28078,Minou Tavárez Mirabal,Dominican Republic,789729808,Start
28321,28079,Armando Castaingdebat,Uruguay,789732757,Stub
28322,28080,Armando Fresa,Italy,789732978,Stub
28323,28081,Anna Grodzka,Poland,789733378,Start
28324,28082,Ohoud Al Roumi,United Arab Emirates,789733949,Start
28325,28083,Armas Härkönen,Finland,789734135,Stub
28326,28084,Mahjabeen Khaled,Bangladesh,789734840,Stub
28327,28085,Lalit Maken,India,789735448,Start
28328,28086,Ahsanullah Master,Bangladesh,789735499,Stub
28329,28087,Darshan Singh Canadian,India,789735998,Start
28330,28088,Shaminder Singh,India,789736744,Start
28336,28090,Kiema Kilonzo,Kenya,789737266,Stub
28337,28091,Armen Martirosyan (politician),Armenia,789737548,Stub
28338,28092,Mutula Kilonzo,Kenya,789741064,C
28339,28093,Alexey Sorokin (military commander),Russia,789744027,Start
28340,28094,Valeri Simeonov,Bulgaria,789744497,Start
28341,28095,Fatemeh Ajorlou,Iran,789744982,Start
28342,28096,Sandra Nori,Australia,789745025,Start
28343,28097,Laleh Eftekhari,Iran,789745415,Stub
28344,28098,Mahnaz Bahmani,Iran,789745418,Stub
28345,28099,Mehrangiz Morovvati,Iran,789745420,Stub
28346,28100,Nafiseh Fayyazbakhsh,Iran,789745449,Stub
28347,28101,Rafat Bayat,Iran,789745461,Stub
28348,28102,Vahideh Taleghani,Iran,789745472,Stub
28349,28103,Armida Alisjahbana,Indonesia,789745545,Start
28350,28104,Suvanant Kongying,Thailand,789745925,Start
28351,28105,Beatrice Wabudeya,Uganda,789747515,Start
28352,28106,Jane Aceng,Uganda,789747629,C
28353,28107,Ruth Achieng,Uganda,789747664,Stub
28354,28108,Justine Ayebazibwe,Uganda,789748037,Stub
28355,28109,Jessica Eriyo,Uganda,789748269,Start
28356,28110,Mary Karooro Okurut,Uganda,789748670,C
28357,28111,Adrian Tibaleka,Uganda,789748752,Stub
28358,28112,Nusura Tiperu,Uganda,789748782,Start
28359,28113,Florence Nakiwala Kiyingi,Uganda,789748978,Start
28360,28114,Syed Nazrul Islam,Bangladesh,789751359,Start
28361,28115,"Sir Philip Carteret, 1st Baronet",Jersey,789753704,Stub
28362,28116,"Sir Philip Carteret, 2nd Baronet",Jersey,789753711,Stub
28363,28117,Hender Molesworth,Jamaica,789754896,Stub
28364,28118,Arna Vågen,Norway,789756404,Stub
28365,28119,Lisel Alamilla,Belize,789756459,Start
28366,28120,Arnaldo Azzi,Italy,789757100,Stub
28367,28121,Arne Hamarsland,Norway,789759606,Stub
28368,28122,Muzaffar Hussain Baig,India,789761024,Start
28369,28123,Arnhim Eustace,Saint Vincent and the Grenadines,789761357,C
28370,28124,List of rulers of Oman,Omani,789761641,B
28371,28125,Manfred Bruns,Germany,789763952,Stub
28372,28126,Arnold Amet,Papua New Guinea,789764113,C
28373,28127,Arnold Cassola,Malta,789764819,Start
28374,28128,Lale Aytaman,Turkey,789765933,Start
28375,28129,Molefi Sefularo,South Africa,789767595,Stub
28376,28130,Kamal Jumblatt,Lebanon,789768325,B
28377,28131,Jure Pelivan,Bosnia-Herzegovina,789769528,Stub
28378,28132,Joseph Ki-Zerbo,Burkina Faso,789769700,C
28379,28133,Ralph Lopes,United Kingdom,789771252,Start
28380,28134,"Sir Thomas McMahon, 2nd Baronet",United Kingdom,789771457,Start
28381,28135,Stuart Samuel,United Kingdom,789773090,Start
28382,28136,"Sir Lionel Smith, 1st Baronet",Jamaica,789773236,Start
28383,28137,List of mayors of places in Malta,Malta,789774936,Start
28384,28138,Solly Afrika Mapaila,South Africa,789775561,Start
28385,28139,Charles D. B. King,Liberia,789777425,C
28386,28140,Arrel Olaño,Philippines,789779623,Stub
28387,28141,Romain Murenzi,Rwanda,789781594,Start
28388,28142,Percy Harris,United Kingdom,789781770,C
28389,28143,Arsala Rahmani Daulat,Afghanistan,789787876,Start
28390,28144,Kwamena Bartels,Ghana,789788034,Start
28391,28145,Arsene James,Saint Lucian,789789654,Stub
28392,28146,Arseny Zakrevsky,Russia,789790862,Stub
