,Unnamed: 0,page,country,rev_id,score
16765,16659,Mark M. Noble,United States,772567736,
16990,16883,Isaura Gomes,Cape Verde,773323473,
16999,16890,Hari Bahadur Rai,Nepal,773355081,
17054,16942,Viviana Piñeiro,Uruguay,773601556,
17165,17051,Khaled Negm,Egypt,774023957,
17252,17135,Phil Hobson,United Kingdom,774293013,
18119,18000,John Palino,New Zealand,777163201,
18536,18411,Larry Holmes (activist),United States,778388481,
18620,18491,Debojeet Thaosen,India,778618827,
18816,18684,Jacek Maciej Wenderlich,Poland,779101752,
18832,18696,Mohamad Hamim Aliyas,Singapore,779135011,
18967,18828,Ina Ambolodto,Philippines,779409209,
19327,19184,José Ricardo Salazar,Venezuela,779899001,
19352,19206,Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,
19360,19209,Rana Assad Amin,Pakistan,779957437,
19678,19526,Claudia Pastorino,Italy,781072934,
19798,19642,Jama Mohamud Takar,Somalia,781427254,
20032,19874,Batul Soltani,Iran,782170063,
20167,20005,Marcia Dangremon,Brazil,782508289,
20611,20445,Rose Sales,Brazil,783382630,
21146,20976,Met Bozi,Albania,784558743,
22144,21971,Mariano Lazcano,Spain,786721553,
22440,22263,Mian Fareed Abbas Kathia,Pakistan,787181453,
22616,22435,Nihal Naj Ali Al-Awlaqi,Yemen,787353922,
22716,22541,Abdolmajid Pirzadeh Jahromi,Iran,787391918,
22741,22562,Abdul Latif Khalid Cheema,Pakistan,787398581,
22814,22631,Abdurahman H. H. Osman 'Mallay',Somalia,787453368,
23336,23150,Thoraya Obaid,Saudi Arabia,788037971,
23614,23427,Rahul Sinha,India,788289620,
23655,23464,Mahesh Kumar,Pakistan,788310383,
24092,23897,Vithal Chavan,India,788722110,
25056,24858,Jaybahadur Hitan Magar,Nepal,788844423,
25565,25363,Amirreza Amirbakhtiar,Iran,788884593,
26278,26073,Fernando Linera,Spain,789080627,
26350,26141,Andrés Ycaza Mantilla,Ecuador,789150159,
26479,26267,Carlo Pezzati,Italy,789262504,
26505,26289,Patrick Binder,France,789266166,
26688,26468,Harald Haas (Pirate Party),Austria,789271422,
26802,26579,Zhang Yuhuan,China,789281061,
26843,26616,Saqib Idrees Taj,Pakistan,789285351,
26853,26622,Hameeda Waheeduddin,Pakistan,789285762,
26864,26629,Zheng Shekui,China,789286413,
27946,27707,Prasanna Earnest,India,789444415,
28331,28089,Chowdhary Balbir Singh,India,789736824,
28484,28238,Arthur C. Watson,United States,789816636,
28894,28644,Farouk Sharif,Philippines,790028876,
29055,28801,Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,
29261,29003,Hrayr Karapetyan,Armenia,790410710,
30036,29776,Bill Evans (politician),United States,791429003,
30359,30095,Claybourn – Claiborne – Clayborn family,United States,791866288,
30564,30296,N. Padmalochanan,India,792184018,
30703,30432,Marko Selakovic,Serbia,792400552,
30732,30458,Praveen Agrawal,India,792440851,
30938,30660,Caleb Crosby,United States,792857662,
30988,30706,Draft:John Johansson i Gränö,Sweden,792933603,
31237,30952,Tibor Gaal de Hatvan,Hungary,793280504,
31969,31685,Chukwuemeka Ihedioha,Nigeria,794311724,
32020,31734,Gregorei Alexandrovich,Russia,794409906,
32312,32023,Josh Miller (politician),United States,794768894,
32381,32088,List of Ghana heads of state by age,Ghana,794866848,
32530,32233,Alfred Moungara Moussotsi,Gabon,794990759,
32917,32617,Hari Bhakta Kandel,Nepal,795545202,
32991,32688,Fraz Wahlah,Pakistan,795588781,
