,rev_id,score
0,669835390,Stub
1,684464777,Stub
2,684821806,Start
3,689944992,Stub
4,693748230,Stub
5,705272416,Stub
6,705322126,Stub
7,706015433,Stub
8,706211513,Start
9,706828186,Start
10,707349953,Stub
11,707662122,Start
12,709212716,Stub
13,710506080,Start
14,710741222,Stub
15,712075709,Stub
16,712152693,Stub
17,712368516,Stub
18,712661063,Start
19,712859381,Stub
20,712909480,Stub
21,712913460,Stub
22,712953402,Start
23,712960046,Stub
24,713103942,Start
25,713119849,Stub
26,713256950,Stub
27,713345840,Start
28,713358204,Stub
29,713473671,Stub
30,713841191,Stub
31,713841237,Stub
32,714317479,Stub
33,714429847,Stub
34,714996923,Start
35,715255368,Stub
36,806433405,GA
37,806493652,Stub
38,806538825,Start
39,806641446,Start
40,806643323,Start
41,806646591,Stub
42,806820349,Start
43,806863472,C
44,807176220,Start
45,807179831,GA
46,807418367,C
47,807451757,C
48,807454951,Stub
