,rev_id,score
0,796204377,Stub
1,796300514,Start
2,796321986,Start
3,796345224,Start
4,796451244,C
5,796515756,Start
6,796753284,Start
7,796753459,Start
8,796758810,
9,797015825,Start
10,797049556,Stub
11,797094937,Start
12,797097345,Start
13,797098442,Start
14,797133197,Start
15,797136951,B
16,797149477,Start
17,797150597,Stub
18,797223921,C
19,797258429,GA
20,797291537,C
21,797307861,GA
22,797339419,Start
23,797362699,Stub
24,797362969,Stub
25,797422904,C
26,797424208,Start
27,797445717,Start
28,797446083,Start
29,797446113,Start
30,797469359,Start
31,797566520,Start
32,797682606,Start
33,797710302,Stub
34,797794627,Start
35,797972524,Start
36,797974170,C
37,797990810,C
38,798029256,C
39,798164565,C
40,798165504,Start
41,798242765,Stub
42,798250934,GA
43,798258646,Start
44,798274511,C
45,798284432,C
46,798306105,C
47,798311879,C
48,798341059,C
