,rev_id,score
0,782288216,Stub
1,782521575,Start
2,782596685,Start
3,782823952,Stub
4,783500239,Stub
5,784555022,Start
6,784864073,Stub
7,785459779,Stub
8,785460311,Start
9,785816435,Stub
10,785883496,Stub
11,786038861,Stub
12,786109698,Start
13,786148781,Start
14,786441974,Start
15,787088271,Stub
16,787193188,Stub
17,787319302,Stub
18,787325450,Stub
19,787349903,Stub
20,787391128,Stub
21,787453633,Start
22,787660421,Stub
23,787777821,C
24,787786371,B
25,787906253,Stub
26,787952515,Stub
27,787952520,Stub
28,787990467,Stub
29,787990835,Stub
30,787990888,Stub
31,787990950,Stub
32,787991020,Stub
33,787991181,Stub
34,788008609,Stub
35,788130582,Stub
36,788421714,Start
37,788792215,Stub
38,788792229,Start
39,788792254,Start
40,788792302,Start
41,788792307,Stub
42,788792316,Stub
43,788792331,Stub
44,788792346,Stub
45,788792390,Stub
46,788792394,Stub
47,788792408,Stub
48,788792416,Start
