,rev_id,score
0,783811255,Stub
1,784148872,Stub
2,784558743,
3,784902264,Stub
4,785021038,Stub
5,785365028,Stub
6,785966439,Start
7,786027545,Stub
8,786199183,Stub
9,786199314,Stub
10,786220507,Start
11,786628383,C
12,786728572,Start
13,786975664,C
14,786981321,Start
15,787000827,Stub
16,787078197,Stub
17,787439788,Stub
18,787920862,Start
19,788180126,Stub
20,788180188,C
21,788180240,Stub
22,788180335,Start
23,788180488,Stub
24,788180507,Stub
25,788180585,Stub
26,788180869,Stub
27,788181008,Stub
28,788181154,Stub
29,788181217,Start
30,788181486,Stub
31,788181540,Stub
32,788182293,Stub
33,788182495,Stub
34,788182525,Start
35,788182587,Stub
36,788182594,Stub
37,788182602,Stub
38,788182620,Start
39,788182881,Start
40,788182918,Stub
41,788231444,Stub
42,788250379,Stub
43,788272423,Stub
44,788425897,C
45,788427441,Start
46,788611790,Stub
47,788819297,C
48,788889966,Start
