,rev_id,score
0,799236288,Stub
1,799247609,B
2,799247842,C
3,799249806,Start
4,799428036,Start
5,799485024,Start
6,799513929,B
7,799518291,Stub
8,799547638,GA
9,799564991,C
10,799569227,Stub
11,799632681,Start
12,799657586,Stub
13,799697252,Stub
14,799702033,Stub
15,800001633,Start
16,800003218,B
17,800256823,Start
18,800270839,Stub
19,800278977,Start
20,800288256,Stub
21,800322656,C
22,800462642,Start
23,800479351,B
24,800547406,Stub
25,800562466,Stub
26,800562984,C
27,800563054,C
28,800650460,Stub
29,800785525,Start
30,800810364,C
31,800872162,Stub
32,800878858,B
33,801033876,C
34,801062482,Stub
35,801088654,Start
36,801118389,Start
37,801134846,C
38,801155606,Stub
39,801155639,Stub
40,801297110,Start
41,801297120,C
42,801304040,GA
43,801304245,Start
44,801307972,Stub
45,801334767,B
46,801335099,Stub
47,801335118,Start
48,801335158,GA
