,rev_id,score
0,777765537,C
1,778675539,Stub
2,778675542,Stub
3,778806364,Stub
4,778825745,Stub
5,778830534,Stub
6,778947267,Stub
7,779440080,Stub
8,779441002,Stub
9,779541149,Start
10,779541334,Stub
11,779541359,Stub
12,779541415,Stub
13,779541481,Stub
14,779541578,Start
15,779541650,Stub
16,780608915,Stub
17,780691538,Stub
18,782622853,Stub
19,782622857,Stub
20,782894395,C
21,783107330,C
22,783142781,Stub
23,783239117,Stub
24,783294124,Stub
25,784442393,Stub
26,784629286,Stub
27,784962640,C
28,786198076,Start
29,786409843,C
30,786826707,Stub
31,787016670,Stub
32,787260537,Stub
33,787978108,Start
34,788070748,Stub
35,788070776,Stub
36,788368060,C
37,788398926,Start
38,788540352,C
39,788758065,Stub
40,788799479,Stub
41,788905950,GA
42,790023943,Start
43,792012094,C
44,792274582,C
45,792556486,Start
46,792731504,Start
47,793218721,Stub
48,793723115,Start
