,rev_id,score
0,757358469,Stub
1,757358540,Stub
2,757358592,Stub
3,757358922,Stub
4,757358941,Stub
5,757366342,Stub
6,757368206,Stub
7,757460447,Stub
8,757539221,Stub
9,757539224,Start
10,757539225,Stub
11,757539227,Stub
12,757539231,Stub
13,757539234,Stub
14,757539236,Stub
15,757539237,Stub
16,757539241,Stub
17,757539243,Stub
18,757539244,Stub
19,757539247,Stub
20,757539249,Stub
21,757539251,Start
22,757539252,Stub
23,757539255,Stub
24,757539258,Stub
25,757539261,Start
26,757539263,Stub
27,757539266,Stub
28,757539273,Stub
29,757539275,Stub
30,757539279,Stub
31,757539280,Stub
32,757539289,Stub
33,757539294,Stub
34,757539298,Stub
35,757539299,Stub
36,757539305,Start
37,757539309,Stub
38,757539312,Stub
39,757539321,Stub
40,757539323,Stub
41,757539342,Stub
42,757539343,Stub
43,757539354,Stub
44,757539364,Stub
45,757539374,Stub
46,757539381,Start
47,757539386,Stub
48,757539401,Stub
