,rev_id,score
0,783105882,Stub
1,783306774,Stub
2,783709214,Start
3,784238454,Start
4,784567948,Start
5,784570968,Stub
6,784571784,Start
7,784640359,C
8,784641175,Stub
9,784641192,Start
10,784641585,Start
11,784642169,Start
12,784651808,Stub
13,784653410,Start
14,784654332,Stub
15,784665746,Stub
16,784665832,Stub
17,784679223,Stub
18,784719824,Stub
19,784724943,Stub
20,784725276,Start
21,784740753,Start
22,784763965,Start
23,784764804,Stub
24,784765914,Stub
25,784775099,Start
26,784779142,Stub
27,784785049,Stub
28,784791967,Start
29,784826476,Start
30,784826631,Start
31,784831943,Stub
32,784849281,Start
33,784869562,Start
34,784871814,C
35,784874338,Start
36,785557811,Start
37,785572804,Start
38,785841848,Stub
39,786375175,Stub
40,787165628,Stub
41,787209725,Start
42,787249879,Start
43,787250773,Start
44,787252025,Stub
45,787253678,Stub
46,787253732,Stub
47,787255897,Stub
48,787257204,Stub
