,rev_id,score
0,788728009,Stub
1,788728013,Stub
2,788728032,Start
3,788728055,Stub
4,788728068,Stub
5,788728077,Stub
6,788728096,Stub
7,788728103,Start
8,788728119,Start
9,788728123,Stub
10,788728136,Stub
11,788728302,Stub
12,788728347,Stub
13,788728492,Stub
14,788728494,Stub
15,788728497,Stub
16,788728536,Stub
17,788728613,Start
18,788728977,Stub
19,788729238,Stub
20,788729435,Stub
21,788729523,Stub
22,788729530,Stub
23,788729609,Stub
24,788729803,Stub
25,788729937,Stub
26,788729976,Stub
27,788730179,Stub
28,788730183,Stub
29,788730186,Stub
30,788730189,Stub
31,788730202,Stub
32,788730290,Stub
33,788730308,Stub
34,788730311,Stub
35,788730317,Stub
36,788730320,Stub
37,788730325,Stub
38,788730330,Stub
39,788730333,Stub
40,788764098,C
41,788764209,Start
42,788764226,Start
43,788764305,Stub
44,788764592,Stub
45,788890404,Stub
46,788966222,Start
47,788967812,Start
48,789139087,C
