,rev_id,score
0,788194740,C
1,788275785,Start
2,788277962,Start
3,788340442,Start
4,788360921,Start
5,788365418,Stub
6,788384779,Start
7,788394339,C
8,788406657,Stub
9,788409805,Start
10,788515181,Stub
11,788522293,Start
12,788536096,Start
13,788536124,Start
14,788557261,C
15,788576466,GA
16,788581393,Start
17,788668103,C
18,788688629,C
19,788707081,Stub
20,788711551,C
21,788723259,C
22,788723275,Start
23,788744744,C
24,788799536,C
25,788811056,Start
26,788879925,Stub
27,788968859,Start
28,788989718,Start
29,788994373,Stub
30,788994572,Stub
31,789009847,C
32,789024343,Start
33,789069336,Start
34,789092705,C
35,789115939,Stub
36,789116763,Start
37,789117364,Start
38,789161037,Stub
39,789223457,Start
40,789288582,Start
41,789327246,Stub
42,789327716,Start
43,789327757,Stub
44,789327870,Start
45,789327880,Stub
46,789327921,Stub
47,789327941,Stub
48,789328110,Stub
