,rev_id,score
0,718254770,Start
1,718392987,Stub
2,718716436,Stub
3,719021179,Stub
4,719489029,B
5,719556032,Stub
6,720384907,Stub
7,720452927,Stub
8,720786838,Start
9,720999159,Stub
10,721483666,Stub
11,722705539,Stub
12,722845139,Stub
13,723853921,Stub
14,723877546,Start
15,724195477,Stub
16,724227231,Stub
17,725000988,Stub
18,726679949,Stub
19,726757308,Start
20,726816628,Stub
21,728013907,Stub
22,728184635,Start
23,728994062,Stub
24,729189991,Start
25,729456802,Stub
26,730014692,Stub
27,730794140,Start
28,730795394,Stub
29,730795471,Stub
30,730795492,Stub
31,732415690,Stub
32,732438356,Start
33,733585785,Stub
34,733588006,Stub
35,733589803,Stub
36,733592360,Stub
37,733605391,Stub
38,733646947,Stub
39,733812912,Stub
40,733914067,Stub
41,734351971,Stub
42,734353865,Stub
43,734936505,Stub
44,734962885,Stub
45,734969465,Stub
46,735717385,Stub
47,735718266,Stub
48,735718282,Stub
