,rev_id,score
0,787645899,C
1,787729910,Start
2,787753393,Stub
3,787870944,C
4,788304471,C
5,788446179,Stub
6,788787895,Stub
7,788892140,Start
8,789020318,Start
9,789126230,C
10,789588297,Start
11,789598610,Start
12,789665242,Start
13,789665267,C
14,789779623,Stub
15,790028876,
16,790304539,Start
17,790994376,B
18,791091352,Start
19,791322602,Start
20,791574231,Stub
21,792229042,Start
22,792281510,Stub
23,792348967,C
24,792372272,Stub
25,792569471,Start
26,792731102,C
27,792921333,Start
28,793030550,Start
29,793108551,Start
30,793179984,Start
31,793196615,Start
32,793224044,C
33,793265109,Start
34,793497726,C
35,793510178,Start
36,793864144,Start
37,793937076,C
38,794078237,Stub
39,794297309,Stub
40,794303593,Start
41,794443765,Stub
42,794518328,Stub
43,794564716,C
44,795064110,Start
45,795078264,Start
46,795152176,Start
47,795199667,Start
48,795303614,Stub
