,rev_id,score
0,763240098,Stub
1,763240392,Stub
2,763240491,Stub
3,763240557,Start
4,763240919,Start
5,763242004,C
6,763242051,Start
7,763313712,Stub
8,763412752,C
9,763503279,Stub
10,763503492,Stub
11,765176624,C
12,765567845,Start
13,765954947,Stub
14,765955981,Start
15,766027857,Start
16,766514589,B
17,767621193,Stub
18,767733852,Stub
19,767880443,Start
20,768045721,Start
21,768045737,Stub
22,768816923,Stub
23,768873165,Stub
24,768887157,GA
25,768924966,C
26,768940322,Start
27,768940351,Start
28,768942077,Start
29,768942094,Start
30,768942387,Start
31,768942439,C
32,768942521,Start
33,768942832,Start
34,768942944,Start
35,768943365,Start
36,768943722,Start
37,768944033,Start
38,768944065,Start
39,769144127,Start
40,769144303,Start
41,769144324,GA
42,769203536,Stub
43,769221504,Start
44,769896232,Start
45,769910636,Stub
46,770159596,C
47,770380228,Start
48,770660278,Stub
