,rev_id,score
0,788969243,Stub
1,788969308,Stub
2,788969369,Stub
3,788969854,Stub
4,788969954,Stub
5,788969974,Stub
6,788969993,Stub
7,788972681,Stub
8,788972792,Stub
9,788972927,Stub
10,788972932,Stub
11,788972937,Stub
12,788972942,Stub
13,788972999,Stub
14,788973010,Start
15,788973017,Stub
16,788973021,Stub
17,788973027,Stub
18,788973031,Stub
19,788973041,Stub
20,788973046,Stub
21,788973048,Stub
22,788973626,Stub
23,788973727,Stub
24,788973757,Stub
25,788973793,Stub
26,788973804,Stub
27,788973825,Stub
28,788973880,Stub
29,788973886,Stub
30,788973912,Stub
31,789175960,Stub
32,789294810,C
33,789711985,C
34,789814452,Stub
35,789814467,Stub
36,789814494,Stub
37,789814541,Stub
38,789814699,Stub
39,789814762,Stub
40,789814791,Stub
41,789814812,Stub
42,789814938,Stub
43,789814956,Stub
44,789815002,Stub
45,789815013,Stub
46,789815056,Stub
47,789815157,Start
48,789989447,Stub
