,rev_id,score
0,788910415,Start
1,789017952,Stub
2,789269944,C
3,789269948,Stub
4,789269963,Start
5,789269966,Stub
6,789269967,Stub
7,789269970,Stub
8,789269975,Stub
9,789269991,Start
10,789270004,Start
11,789270019,Stub
12,789270025,Start
13,789270044,Stub
14,789270051,Start
15,789270058,Stub
16,789270072,Start
17,789270074,Stub
18,789270087,Start
19,789270092,C
20,789270096,Start
21,789270101,Stub
22,789270104,Start
23,789270106,Stub
24,789270118,Stub
25,789270130,Stub
26,789270132,Stub
27,789270134,Start
28,789270140,Stub
29,789270148,Stub
30,789270151,Stub
31,789270153,Stub
32,789270155,Start
33,789270161,C
34,789270166,Stub
35,789270171,Stub
36,789270176,Stub
37,789270179,Stub
38,789270185,Start
39,789270195,Stub
40,789270198,Stub
41,789270207,Stub
42,789270209,Stub
43,789270214,Start
44,789270388,Stub
45,789270419,Stub
46,789270430,Stub
47,789270434,Stub
48,789270437,Stub
