,rev_id,score
0,804937385,Start
1,804937399,GA
2,804937479,Start
3,804937526,Start
4,804937595,C
5,804937784,Start
6,804937844,C
7,804940426,Start
8,804940476,Start
9,804941144,Start
10,804941339,Start
11,804941459,Start
12,804941532,C
13,804941654,Start
14,804941696,Stub
15,804941770,Stub
16,804941914,C
17,804941978,
18,804942108,C
19,804942202,Stub
20,804942311,C
21,804943813,Stub
22,804944197,Stub
23,804945043,C
24,804945170,C
25,804945338,
26,804945652,Stub
27,804945715,Stub
28,804945844,C
29,804946008,Stub
30,804946057,Stub
31,804946097,Start
32,804946404,Stub
33,804946512,Start
34,804946617,Start
35,804946658,
36,804946771,Start
37,804946812,Start
38,804947150,Start
39,804947189,Start
40,804950843,C
41,804967392,C
42,804968910,C
43,804989176,Stub
44,805010001,Start
45,805016377,Stub
46,805031334,
47,805048542,Start
48,805092837,C
