,rev_id,score
0,669833349,Stub
1,704772645,Stub
2,706066998,Stub
3,715447516,Stub
4,716704409,Stub
5,717625447,Stub
6,790882969,C
7,791233128,Start
8,791233164,Start
9,791988806,Start
10,792942957,Start
11,793396708,Stub
12,793718269,Start
13,793913901,Stub
14,795036217,C
15,796252992,Stub
16,796305221,Stub
17,796394448,Start
18,796625602,Start
19,797027777,Stub
20,797496114,Stub
21,797505289,Stub
22,797574730,Stub
23,797574901,Stub
24,797944332,Stub
25,798552999,C
26,798556613,C
27,799329801,Stub
28,799329979,Start
29,799367970,Start
30,799574452,Stub
31,801092618,Start
32,801155630,C
33,801216403,C
34,801309532,Stub
35,801436907,Start
36,801469104,Start
37,801638448,Start
38,802438316,C
39,802588416,GA
40,802671442,C
41,803164766,Start
42,804413078,C
43,804892627,Start
44,805648921,B
45,805749133,FA
46,806291651,Start
47,806781239,Stub
48,806837329,Start
