,rev_id,score
0,768816059,Start
1,769017752,Stub
2,769217775,Stub
3,769652775,Stub
4,769653041,Stub
5,769653327,Stub
6,769654462,Start
7,769681096,Stub
8,769702847,Stub
9,769707972,Start
10,769857620,Stub
11,770284648,Start
12,770832453,Stub
13,771021366,Stub
14,771356216,Stub
15,771703338,Start
16,771895173,Stub
17,772645433,Stub
18,772650414,Stub
19,773188616,Start
20,773188788,Stub
21,773761673,Start
22,773786156,Stub
23,774526754,Stub
24,774669198,GA
25,774675690,Start
26,775155367,Stub
27,775174119,Stub
28,775280087,Stub
29,775358826,Stub
30,775690095,Start
31,775894486,Stub
32,775950604,Stub
33,776061649,Stub
34,776166753,Stub
35,776182803,Start
36,776243021,Stub
37,776941193,Stub
38,777329756,Stub
39,777443274,Stub
40,777612187,Stub
41,777649850,Stub
42,778203838,Stub
43,778420488,Stub
44,778442800,Start
45,779287239,Start
46,779288066,Stub
47,779369514,Stub
48,779744666,Start
