,rev_id,score
0,715947683,Stub
1,716599243,Stub
2,717534881,Stub
3,719039652,Stub
4,719704569,Stub
5,719742040,Start
6,720605479,Start
7,720939610,Start
8,721188244,Stub
9,721302683,Stub
10,722226891,Stub
11,722340898,Stub
12,722586870,Start
13,723347465,Stub
14,723487099,Start
15,723820329,Stub
16,726072363,Stub
17,728507832,B
18,734122106,Stub
19,735405745,B
20,735739446,C
21,737848237,Stub
22,738586711,C
23,741240565,B
24,743531941,Start
25,744730085,Stub
26,745489352,Stub
27,745711737,Stub
28,745837038,Stub
29,745915558,
30,746372924,Start
31,747063138,Stub
32,747594950,Stub
33,750721973,Stub
34,750722991,Stub
35,751177057,Start
36,751451387,Start
37,751568055,Stub
38,755398667,C
39,756307494,Stub
40,757292312,Start
41,761525136,Start
42,762300867,Stub
43,762369795,Start
44,764016726,Stub
45,765023750,Start
46,765119973,Stub
47,765965988,Stub
48,767190897,Start
