,rev_id,score
0,768467278,Stub
1,768467373,Stub
2,768468653,Stub
3,768469977,Stub
4,768470371,Start
5,768470573,Stub
6,768471016,Start
7,768472467,Stub
8,768474154,Stub
9,768474604,Stub
10,768474821,Stub
11,768475008,Stub
12,768917495,C
13,769994051,Stub
14,770184515,Stub
15,772188491,Start
16,772218944,Stub
17,772508749,Stub
18,773063034,Start
19,773099973,Start
20,773109804,Stub
21,773588968,Start
22,773963391,Stub
23,773964128,Stub
24,774706071,Stub
25,776015999,Start
26,776479075,Start
27,777353456,Stub
28,778150726,Stub
29,778323803,Stub
30,778354358,Start
31,778898522,C
32,779183169,Start
33,779367475,Start
34,779395066,Stub
35,779425296,Stub
36,779534875,Start
37,779534951,Stub
38,779535038,Stub
39,779535073,Stub
40,779535203,Stub
41,779535318,Stub
42,779535668,Stub
43,779535798,Stub
44,779535990,Stub
45,779737298,Stub
46,779775038,Stub
47,779945719,Stub
48,780434107,Stub
