,rev_id,score
0,786204421,Stub
1,786649869,Start
2,786830869,C
3,786962684,Start
4,787080293,Stub
5,787162909,Stub
6,787382108,Start
7,787534195,Start
8,787625673,Stub
9,787627837,Start
10,788388147,Stub
11,788539253,C
12,788689124,Start
13,788853175,Stub
14,788853565,Stub
15,788853630,Start
16,788853666,Stub
17,788853695,Start
18,788853817,Stub
19,788853838,Stub
20,788853849,Start
21,788853978,C
22,788854119,Start
23,788854135,C
24,788854212,Start
25,788854229,Stub
26,788854335,Start
27,788854447,Stub
28,788854903,Stub
29,788855020,Stub
30,788855074,Stub
31,788855123,Stub
32,788855336,Start
33,788855390,Stub
34,788855516,Stub
35,788855559,Start
36,788855683,Stub
37,788855713,Stub
38,788856067,C
39,788856129,Stub
40,788856185,Stub
41,788856193,Stub
42,788856201,Stub
43,788856205,Stub
44,788856260,Start
45,788856319,Stub
46,788856326,Stub
47,788856332,Stub
48,788856385,GA
