,rev_id,score
0,801141705,C
1,801261089,C
2,801346229,C
3,801687113,GA
4,801723767,C
5,801770245,B
6,801892956,C
7,802150861,C
8,802239740,C
9,802348405,C
10,802431323,C
11,802437209,C
12,802445176,
13,802451416,Stub
14,802554618,C
15,802563564,C
16,802622557,Start
17,802639348,Start
18,802697334,C
19,802855423,GA
20,802972603,Start
21,802990490,C
22,803085239,C
23,803133445,C
24,803172945,C
25,803315818,C
26,803330007,FA
27,803417044,Start
28,803718673,C
29,803724689,C
30,803880227,Start
31,803970720,C
32,804012961,Start
33,804245334,C
34,804303173,C
35,804424561,B
36,804477300,C
37,804528333,B
38,804543284,B
39,804576685,C
40,804586418,C
41,804598398,Start
42,804687106,Start
43,804754205,C
44,804754224,C
45,804853351,GA
46,804904414,Start
47,804936363,GA
48,805212387,Stub
