,rev_id,score
0,794244715,B
1,794569207,Stub
2,794624253,C
3,794929001,Stub
4,794929225,Stub
5,794929298,Stub
6,794929563,Stub
7,794929617,Stub
8,794929664,Stub
9,794929965,Stub
10,794930218,Stub
11,794930801,Stub
12,794930811,Stub
13,794930814,Stub
14,794930827,Start
15,794930829,Stub
16,794930842,Stub
17,794930860,Start
18,794930863,Stub
19,794930874,Stub
20,794930878,Stub
21,794930896,Stub
22,794930911,Stub
23,794931045,Stub
24,794931056,Stub
25,794931262,Stub
26,794931359,Start
27,794931440,Stub
28,794931606,Stub
29,794931968,Stub
30,794932265,Stub
31,794932274,Stub
32,794932377,Stub
33,794932492,Stub
34,794932699,Stub
35,794932744,Stub
36,794932815,Stub
37,794932930,Stub
38,794932991,Stub
39,795067431,Stub
40,795339210,Start
41,795349377,Stub
42,795360369,Stub
43,795641105,C
44,795715659,Start
45,795721740,Stub
46,795761231,Stub
47,796012407,Stub
48,796199672,C
