,rev_id,score
0,789310041,Stub
1,789310043,Stub
2,789310051,Stub
3,789310081,Stub
4,789368034,Start
5,789396186,Start
6,789426458,Stub
7,789543688,C
8,789649588,Stub
9,789652510,C
10,789654276,Stub
11,789832123,Stub
12,789907943,Stub
13,790008023,Stub
14,790008045,Stub
15,790008056,Stub
16,790008074,Stub
17,790008138,Stub
18,790008144,Start
19,790090498,Stub
20,790296656,Stub
21,790411018,GA
22,790422155,Stub
23,790422746,Start
24,790658867,Stub
25,790769998,C
26,790925253,Stub
27,790975847,Start
28,791009600,Start
29,791136374,Start
30,791212006,Stub
31,791212027,Start
32,791212058,Start
33,791212232,Stub
34,791212286,Stub
35,791212322,Start
36,791212326,C
37,791212350,Stub
38,791212356,Start
39,791212361,Stub
40,791212368,Stub
41,791212376,Start
42,791212389,Start
43,791212421,Stub
44,791212424,Start
45,791212456,Start
46,791212481,Stub
47,791212565,Stub
48,791212661,Stub
