,rev_id,score
0,788984082,Start
1,789665748,Start
2,789744497,Start
3,789926430,Start
4,790781011,Start
5,790970165,Stub
6,790972397,Stub
7,790972435,Start
8,790972673,Start
9,791177687,Start
10,791307332,C
11,793051551,Start
12,793374491,Start
13,793676759,C
14,793915352,Start
15,794283240,Start
16,794944057,C
17,795000795,Start
18,795957142,Start
19,796020342,Stub
20,796272668,C
21,796437164,C
22,796439678,Stub
23,796888848,Start
24,797042027,Stub
25,797417810,Start
26,797418034,Stub
27,797418096,Stub
28,797498910,Start
29,797505420,Stub
30,797546280,Start
31,797558117,Stub
32,797633711,Start
33,797745316,Stub
34,797836169,Stub
35,797859107,C
36,797940463,C
37,798263072,Start
38,798560330,C
39,798588458,C
40,799365072,Stub
41,799370110,C
42,799542538,Stub
43,799801919,Stub
44,799931161,Start
45,800117093,Stub
46,800123910,Start
47,800138871,C
48,800219716,Start
