,rev_id,score
0,788927020,Stub
1,788927063,Stub
2,788927087,Stub
3,788927101,Start
4,788927124,Stub
5,788927139,Stub
6,788927157,Start
7,788927186,Stub
8,788928083,Stub
9,788928089,Stub
10,788928143,Stub
11,788928150,Stub
12,788928162,Stub
13,788928229,Start
14,788928236,Start
15,788928247,Stub
16,788928322,Start
17,788928351,Stub
18,788928383,Stub
19,788928543,Stub
20,788928570,Stub
21,788928623,Stub
22,788928648,Stub
23,788928650,Stub
24,788928669,Start
25,788928717,Stub
26,788928727,Start
27,788928743,Stub
28,788928769,Stub
29,788928801,Stub
30,788928804,Start
31,788928932,Stub
32,788929132,Stub
33,788929146,Start
34,788929151,Stub
35,788929241,Stub
36,788929303,Stub
37,788929309,Start
38,788929337,Start
39,788929359,Start
40,788929385,Stub
41,788929405,Stub
42,788929415,Stub
43,788930146,Stub
44,788945642,Start
45,789094282,Start
46,789128715,C
47,789250037,Stub
48,789284447,Start
